page_or_entity_id	input_text	primary_intent_pattern_id	primary_intent_pattern_name	secondary_intent_pattern_ids	secondary_intent_pattern_names	intent_domain_id	intent_domain_name	intent_modifier_ids	intent_modifier_names	intent_stage_id	intent_stage_name	intent_strength_id	intent_strength_name	commercial_readiness_id	commercial_readiness_name	actionability_id	actionability_name	performance_utility_id	performance_utility_name	primary_kpi_alignment	lead_gen_relevance	sensitive_category_flag	allowed_activation_scope	confidence_score
ex-001	best suv lease deals near me	IP-1220	Ready to Buy Major Item	IP-6220|IP-5110	Price and Value Comparison|Checking Price Range	ID-2000	Automotive	IM-1000|IM-2000|IM-5000|IM-6000	Deal Seeking|Local|Urgency|Budget Conscious	IS-8000	Ready to Act	IG-4000	Very Strong or Explicit	CR-3000	Transaction Readiness	AC-1000	Eligible	PU-1000	High	Lead	High	Not sensitive	Full activation	0.94
ex-002	best hybrid suv for family of 5	IP-6000	Comparison Intent	IP-1210	Researching Major Purchase	ID-2000	Automotive			IS-4000	Comparison	IG-3000	Strong	CR-2000	Commercial Investigation	AC-2000	Eligible With Strong Confidence Only	PU-2000	Medium	Engagement	Medium	Not sensitive	Full activation	0.86
ex-003	cheap flights to las vegas this weekend	IP-3110	Flight Booking	IP-5110	Checking Price Range	ID-3000	Travel	IM-1000|IM-5000	Deal Seeking|Urgency	IS-8000	Ready to Act	IG-4000	Very Strong or Explicit	CR-3000	Transaction Readiness	AC-1000	Eligible	PU-1000	High	Booking	Low	Not sensitive	Full activation	0.93
ex-004	things to do in napa valley with kids	IP-9210	Trip Planning			ID-3000	Travel			IS-6000	Planning	IG-3000	Strong	CR-2000	Commercial Investigation	AC-2000	Eligible With Strong Confidence Only	PU-2000	Medium	Booking	Low	Not sensitive	Full activation	0.82
ex-005	best credit cards for travel rewards	IP-6000	Comparison Intent			ID-8000	Financial Services			IS-4000	Comparison	IG-3000	Strong	CR-2000	Commercial Investigation	AC-2000	Eligible With Strong Confidence Only	PU-2000	Medium	Lead	Medium	Potentially sensitive	Contextual only	0.84
ex-006	mortgage refinance rates today	IP-5220	Loan or Financing Quote	IP-5110	Checking Price Range	ID-A000	Real Estate	IM-5000|IM-6000	Urgency|Budget Conscious	IS-8000	Ready to Act	IG-4000	Very Strong or Explicit	CR-3000	Transaction Readiness	AC-1000	Eligible	PU-1000	High	Lead	High	Potentially sensitive	Contextual only	0.91
ex-007	compare auto insurance quotes online	IP-5210	Insurance Quote	IP-6210	Service Provider Comparison	ID-9000	Insurance	IM-4000|IM-6000	Vendor Focused|Budget Conscious	IS-8000	Ready to Act	IG-4000	Very Strong or Explicit	CR-3000	Transaction Readiness	AC-1000	Eligible	PU-1000	High	Quote	High	Potentially sensitive	Contextual only	0.92
ex-008	how to file homeowners insurance claim	IP-C220	Claim Complaint or Issue Resolution			ID-9000	Insurance			IS-A000	Post Action	IG-3000	Strong	CR-4000	Post Transaction	AC-1000	Eligible	PU-2000	Medium	Support Resolution	Low	Potentially sensitive	Contextual only	0.89
ex-009	best espresso machine under 300	IP-6120	Feature Comparison	IP-5110	Checking Price Range	ID-1000	Retail and Consumer Goods	IM-6000	Budget Conscious	IS-5000	Evaluation	IG-3000	Strong	CR-2000	Commercial Investigation	AC-2000	Eligible With Strong Confidence Only	PU-2000	Medium	Purchase	Low	Not sensitive	Full activation	0.83
ex-010	buy running shoes online free shipping	IP-1110	Everyday Item Purchase			ID-1000	Retail and Consumer Goods	IM-1000	Deal Seeking	IS-9000	Acting	IG-4000	Very Strong or Explicit	CR-3000	Transaction Readiness	AC-1000	Eligible	PU-1000	High	Purchase	Low	Not sensitive	Full activation	0.95
ex-011	best crm for small sales team	IP-6000	Comparison Intent	IP-8120|IP-8310	Deep Research Learning|Looking for Solution Types	ID-J000	Business and B2B Solutions	IM-4000	Vendor Focused	IS-4000	Comparison	IG-3000	Strong	CR-2000	Commercial Investigation	AC-2000	Eligible With Strong Confidence Only	PU-2000	Medium	Lead	High	Not sensitive	Full activation	0.87
ex-012	salesforce demo request	IP-2310	Demo Request			ID-J000	Business and B2B Solutions	IM-4000|IM-3000	Vendor Focused|Brand Focused	IS-9200	Form Fill Contact or Application	IG-4000	Very Strong or Explicit	CR-3000	Transaction Readiness	AC-1000	Eligible	PU-1000	High	Lead	High	Not sensitive	Full activation	0.96
ex-013	emergency plumber near me open now	IP-2120	Contact Request	IP-A110	Finding Places Nearby	ID-H000	Professional Services	IM-2000|IM-5000	Local|Urgency	IS-8200	High Booking or Contact Readiness	IG-4000	Very Strong or Explicit	CR-3000	Transaction Readiness	AC-1000	Eligible	PU-1000	High	Lead	High	Not sensitive	Full activation	0.95
ex-014	best online mba programs	IP-6000	Comparison Intent			ID-E000	Education			IS-4000	Comparison	IG-3000	Strong	CR-2000	Commercial Investigation	AC-2000	Eligible With Strong Confidence Only	PU-2000	Medium	Lead	High	Not sensitive	Full activation	0.84
ex-015	how do electric cars work	IP-8110	Introductory Learning			ID-2000	Automotive			IS-3000	Learning	IG-2000	Moderate	CR-1000	Non Commercial Informational	AC-3000	Reporting Only	PU-4000	Primarily Analytical	Engagement	None	Not sensitive	Reporting only	0.78
